"id";"player1";"player2";"player1moves";"player2moves";"player1time";"player2time";"roundId";"roomId";"player1Id";"player2Id";"state";"won_amount";"player_won";"betamount"
239;"white";"null";"null";"null";"null";"null";458;"404994";"pg8";"";0;"";"";0
240;"white";"null";"""""";"""""";"null";"null";459;"801841";"pg8";"";1;"0";"pg8";0
241;"white";"null";"""""";"""""";"null";"null";460;"622633";"pg8";"";1;"0";"pg8";0
242;"white";"black";"""H4;G4;F4;E4;D4;C4;B4;A4;H3;F3;D3;F2;B3;E3;C3;A3;G3;""";"""A5;B5;C5;D5;E5;F5;G5;A6;C6;E6;B6;D7;D6;F6;H5;H6;E7;""";"null";"null";461;"251363";"pg8";"pg9";1;"18";"pg9";0
243;"white";"black";"""""";"""""";"null";"null";462;"736608";"pg3";"pg8";1;"18";"pg8";0
244;"white";"black";"""""";"""""";"null";"null";463;"192988";"pg8";"pg5";1;"18";"pg5";0
245;"white";"black";"null";"null";"null";"null";464;"483400";"pg8";"pg5";0;"";"";0
246;"white";"null";"null";"null";"null";"null";465;"471036";"pg5";"";0;"";"";0
247;"white";"null";"null";"null";"null";"null";466;"101599";"pg5";"";0;"";"";0
248;"white";"black";"""""";"""""";"null";"null";467;"770550";"pg5";"pg8";1;"18";"pg8";0
249;"white";"black";"null";"null";"null";"null";468;"539307";"pg8";"pg5";0;"";"";0
250;"white";"black";"""""";"""""";"null";"null";469;"285022";"pg8";"pg5";1;"18";"pg5";0
251;"white";"black";"null";"null";"null";"null";470;"129394";"pg8";"pg5";0;"";"";0
252;"white";"black";"""""";"""""";"null";"null";471;"778494";"pg8";"pg5";1;"18";"pg5";0
253;"white";"black";"null";"null";"null";"null";472;"404872";"pg5";"pg8";0;"";"";0
254;"white";"black";"""""";"""""";"null";"null";473;"924955";"pg8";"pg5";1;"18";"pg5";0
255;"white";"black";"""""";"""""";"null";"null";474;"995786";"pg8";"pg5";1;"18";"pg5";0
